
2025/01/19 (18:09:09) | ===> btop++ v.1.4.0
2025/01/19 (18:09:09) | INFO: Logger set to DEBUG
2025/01/19 (18:09:09) | DEBUG: Using locale en_US.UTF-8
2025/01/19 (18:09:09) | INFO: Running on /dev/pts/1
2025/01/19 (18:09:10) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/01/19 (18:09:10) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/01/19 (18:09:10) | WARNING: Intel GPU: Failed to initialize PMU
2025/01/19 (18:09:10) | DEBUG: Shared::init() : Initialized.
2025/01/19 (18:09:10) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_material_dark.theme

2025/01/19 (18:13:50) | ===> btop++ v.1.4.0
2025/01/19 (18:13:50) | INFO: Logger set to DEBUG
2025/01/19 (18:13:50) | DEBUG: Using locale en_US.UTF-8
2025/01/19 (18:13:50) | INFO: Running on /dev/pts/3
2025/01/19 (18:13:50) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/01/19 (18:13:50) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/01/19 (18:13:50) | WARNING: Intel GPU: Failed to initialize PMU
2025/01/19 (18:13:50) | DEBUG: Shared::init() : Initialized.
2025/01/19 (18:13:50) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_material_dark.theme

2025/01/19 (18:29:35) | ===> btop++ v.1.4.0
2025/01/19 (18:29:35) | INFO: Logger set to DEBUG
2025/01/19 (18:29:35) | DEBUG: Using locale en_US.UTF-8
2025/01/19 (18:29:35) | INFO: Running on /dev/pts/1
2025/01/19 (18:29:35) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/01/19 (18:29:35) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/01/19 (18:29:35) | WARNING: Intel GPU: Failed to initialize PMU
2025/01/19 (18:29:35) | DEBUG: Shared::init() : Initialized.
2025/01/19 (18:29:35) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_material_dark.theme

2025/01/19 (18:50:16) | ===> btop++ v.1.4.0
2025/01/19 (18:50:16) | INFO: Logger set to DEBUG
2025/01/19 (18:50:16) | DEBUG: Using locale en_US.UTF-8
2025/01/19 (18:50:16) | INFO: Running on /dev/pts/0
2025/01/19 (18:50:16) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/01/19 (18:50:16) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/01/19 (18:50:16) | WARNING: Intel GPU: Failed to initialize PMU
2025/01/19 (18:50:16) | DEBUG: Shared::init() : Initialized.
2025/01/19 (18:50:16) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_material_dark.theme

2025/01/20 (21:45:12) | ===> btop++ v.1.4.0
2025/01/20 (21:45:12) | INFO: Logger set to DEBUG
2025/01/20 (21:45:12) | DEBUG: Using locale en_US.UTF-8
2025/01/20 (21:45:12) | INFO: Running on /dev/pts/0
2025/01/20 (21:45:12) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/01/20 (21:45:12) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/01/20 (21:45:12) | WARNING: Intel GPU: Failed to initialize PMU
2025/01/20 (21:45:12) | DEBUG: Shared::init() : Initialized.
2025/01/20 (21:45:12) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_material_dark.theme

2025/01/22 (19:01:26) | ===> btop++ v.1.4.0
2025/01/22 (19:01:26) | INFO: Logger set to DEBUG
2025/01/22 (19:01:26) | DEBUG: Using locale en_US.UTF-8
2025/01/22 (19:01:26) | INFO: Running on /dev/pts/0
2025/01/22 (19:01:26) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/01/22 (19:01:26) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/01/22 (19:01:26) | WARNING: Intel GPU: Failed to initialize PMU
2025/01/22 (19:01:26) | DEBUG: Shared::init() : Initialized.
2025/01/22 (19:01:26) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_material_dark.theme
